Version,Water,Ethanol,Tris pH 8,SDS 20%,NaCl,NaCit 1M pH 6.11,NaCit 1M pH 11.5,NaCit 1M pH 5,NaCit 1M pH 7.5,Tris pH 5.5,Tris pH 7.5,Tris pH 11,EDTA,TCEP,sodium sulfite (g),sodium acetat 3M,ammonium sulfate 1M,Ammonium acetate 2.4M
VWA0 (Galenvs Standard),1.9,4,0.1,0.03,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BW1.11,1.77,4,0.2,0.03,3.875,0.125,0,0,0,0,0,0,0,0,0,0,0,0
W1_1,1.77,4,0.2,0.03,3.875,0,0.125,0,0,0,0,0,0,0,0,0,0,0
W1_2,1.77,4,0.2,0.03,3.875,0,0,0.125,0,0,0,0,0,0,0,0,0,0
W1_3,1.77,4,0,0.03,3.875,0.125,0,0,0,0,0.2,0,0,0,0,0,0,0
W1_5,8.85,20,0,0.15,19.375,0,1.625,0,0,0,0,0,0,0,0,0,0,0
W1_6,31.4,80,0,0.6,77.5,0,2.5,0,0,0,0,0,4,0,0,0,0,0
W1_6a,1.57,4,0,0.03,3.875,0,0.125,0,0,0,0,0.2,0.2,0,0,0,0,0
W1_6b,1.57,4,0,0.03,3.875,0,0.125,0,0,0.2,0,0,0.2,0,0,0,0,0
BW1_1,0.75,5,0.2,0,4,0,0,0,0,0,0,0,0.05,0,0,0,0,0
BW1_T,0.75,5,0.2,0,4,0,0,0,0,0,0,0,0.05,1,0,0,0,0
BW1_T1,0.75,4,0.2,0,4,0,0,0,0,0,0,0,0.05,1,0,0,0,0
W1_11,1.445,4,0,0.03,3.875,0,0.25,0,0,0,0,0,0.2,0,0,0,0,0
BW1_TNS,0.75,5,0.2,0,4,0,0,0,0,0,0,0,0.05,1,0.0177,0,0,0
W1_12,1.9,4,0.1,0.03,2,0,0,0,0,0,0,0,0,0,2,0,0,0
W1_13,1.9,4,0.1,0.03,0,0,0,0,0,0,0,0,0,0,4,0,0,0
W1_14,1.9,4,0.1,0.03,3,0,0,0,0,0,0,0,0,0,1,0,0,0
W1_15,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
W1_16,0.75,4,0.2,0,4,0,0,0,0,0,0,0,0.05,0,0,1,0,0
W1_17,2.75,2,0.2,0,4,0,0,0,0,0,0,0,0.05,1,0,0,0,0
w1_18,1,5,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
